,Event Name,Date,Venue
0,Stand Down Pittsburgh 2021,Sat Oct 09 2021 at 09:00 am,"2934 Smallman St, Pittsburgh, PA 15201-1523, United States"
1,G4G PGH + Hugh Lane Wellness Foundation,Sat Oct 09 2021 at 02:00 pm,"925 Brighton Rd, Pittsburgh, PA 15233-1707, United States"
2,Myofascial Release Teacher Training -- 28 CECs with Kimberly,Fri Oct 01 2021 at 10:00 am,The Yoga Hive
3,Air & Nothingness authors Brandon Ketchum and Jamie Lackey,Wed Oct 06 2021 at 07:00 pm,Riverstone Books
4,Harry Styles Love On Tour,Thu Oct 14 2021 at 05:00 pm,PPG Paints Arena
5,"Pittsburgh, PA - Tech N9ne's Strange New World Tour 2021",Wed Nov 03 2021 at 06:00 pm,Stage AE
6,"Boozin' Through The 90s Bar Crawl | Pittsburgh, PA",Sat Apr 16 2022 at 01:00 pm,Venue List On BarCrawlLive.com
7,The 4th Annual Halloween Bar Crawl - Pittsburgh,Sat Oct 30 2021 at 04:00 pm,Carson City Saloon
8,Dr. Barbara Burstin discusses and signs her biography of Pittsburgh Mayor Sophie Masloff,Wed Oct 20 2021 at 07:30 pm,Riverstone Books
9,Def Leppard The Stadium Tour,Fri Aug 12 2022 at 05:00 pm,PNC Park
10,Jazz is Phsh at Crafthouse,Thu Oct 07 2021 at 07:00 pm,Crafthouse Stage & Grill
11,Arthur Haas: Bach Goldberg Variations,Sat Oct 09 2021 at 08:00 pm,Calvary Episcopal Church
12,Mark Oppenheimer signing SQUIRREL HILL,Tue Oct 26 2021 at 07:30 pm,Riverstone Books
13,RADical Days: Heinz History Center,Sun Oct 03 2021 at 10:00 am,Heinz History Center
14,World Cancer Day 1M 5K 10K 13.1 26.2-Save $2,Fri Feb 04 2022 at 07:00 pm,Around the World!
15,Funky Pumpkins Mosaic Plaque,Fri Oct 08 2021 at 05:30 pm,Kolor-N-Kiln
16,ZooBoo at the Pittsburgh Zoo,Sat Oct 16 2021 at 10:00 am,Pittsburgh Zoo & PPG Aquarium
17,Catbite + Magic Ghrelin + Wasted Space + Lost Cat at Roboto,Sun Oct 03 2021 at 07:00 pm,The Mr. Roboto Project
18,Jam on Walnut,Sat Oct 16 2021 at 07:00 pm,"Walnut St Shadyside, Pa"
19,Agent Orange at Crafthouse,Sun Oct 16 2022 at 07:00 pm,Crafthouse Stage & Grill
20,Nile at Crafthouse - Moved to March 4,Fri Mar 04 2022 at 08:00 pm,Crafthouse Stage & Grill
21,Bridging the Gap: Oncology Boot Camp,Fri Oct 15 2021 at 07:15 am,Sheraton Pittsburgh Hotel at Station Square
22,Pittsburgh SPARK: Budgeting /  Managing Expenses,Wed Oct 06 2021 at 04:00 pm,Pittsburgh
23,"Pittsburgh Job Fair November 17, 2021",Wed Nov 17 2021 at 10:00 am,Pittsburgh
24,Pittsburgh Job Fair - Pittsburgh Career Fair,Mon Oct 04 2021 at 11:00 am,Pittsburgh
25,People's Pride PGH 2k22: The Return of Pittsburgh Pride,Fri Jun 03 2022 at 12:00 pm,Allegheny Commons Park West
26,Harvest Wines,Wed Oct 20 2021 at 06:30 pm,The Pennsylvania Market
27,¡ Que Viva Clemente 2021 !,Fri Oct 08 2021 at 07:00 pm,Jeron X Grayson Community Pittsburgh Pa
28,Bishop Canevin High School Fall Fest,Sat Oct 09 2021 at 07:00 pm,Bishop Canevin High School
29,Disney Princess The Concert Presented by Pandora,Tue Nov 23 2021 at 08:00 pm,Benedum Center
30,Straight No Chaser,Tue Dec 14 2021 at 09:00 pm,Benedum Center
31,"MERCH VOLUNTEER - Newsboys, Mandisa, and MORE - Pittsburgh, PA",Thu Oct 28 2021 at 04:30 pm,Petersen Events Center
32,Christina Avallone  on THRIVING IN A DIGITAL WORLD,Tue Oct 12 2021 at 07:30 pm,Riverstone Books
33,2021 Pittsburgh Walk for Apraxia,Sun Oct 03 2021 at 09:00 am,Highmark Stadium
34,Lifeline Mission Meal Pack Event,Sun Oct 03 2021 at 09:00 am,North Hills Christian Church
35,Pentatonix: The Evergreen Christmas Tour 2021,Sun Nov 28 2021 at 08:00 pm,Petersen Events Center
36,Street Corner Symphony Christmas,Thu Dec 09 2021 at 07:30 pm,Crafthouse Stage & Grill
37,A Drag Queen Christmas,Thu Nov 11 2021 at 09:00 pm,Byham Theater
38,Grown Up Play Date,Fri Oct 08 2021 at 07:00 pm,Iron City Circus Arts
39,Exhorder,Sun Nov 28 2021 at 05:30 pm,Crafthouse Stage & Grill
40,Exhorder at Crafthouse,Sun Nov 28 2021 at 08:30 pm,Crafthouse Stage & Grill
41,JC Coccoli & Pals - Comedy Night in the Loft,Sat Oct 09 2021 at 08:00 pm,Kingfly Spirits
42,Boy Culture: The Series,Sat Oct 09 2021 at 07:00 pm,"4623 Liberty Ave, Pittsburgh, PA 15224-1922, United States"
43,Leanne Morgan: The Big Panty Tour,Sat Oct 16 2021 at 07:00 pm,Heinz Hall for the Performing Arts
44,Tekko's 2021 Resident Evil Meet-up 3: Resurrected Edition,Fri Dec 10 2021 at 01:00 pm,David L. Lawrence Convention Center
45,New Member Meetup | October,Tue Oct 12 2021 at 06:00 pm,Sienna Mercato
46,"MIYAVI in Pittsburgh, PA (10/22)",Fri Oct 22 2021 at 08:00 pm,Thunderbird Café & Music Hall
47,"CLE – Taking Action Against Dog Fighting, Puppy Mills and Animal Abuse",Wed Oct 13 2021 at 03:00 pm,Animal Friends
48,Community House Free Market,Sat Oct 09 2021 at 10:00 am,Community House Presbyterian Church
49,Paws for Miracles,Sat Oct 09 2021 at 05:00 pm,Shannopin Country Club
50,"Circus Saints and Sinners, Bob Prince Tent, 2021 Person of the Year -- Frank Fuhrer III",Mon Oct 11 2021 at 05:30 pm,LeMont - Pittsburgh
51,Breast Cancer Awareness Fundraiser!,Sun Oct 24 2021 at 01:00 pm,Coughlin's Law Kitchen and Ale House
52,"The Happy Fits with M.A.G.S. and Phoneboy in Pittsburgh, PA (10/26)",Tue Oct 26 2021 at 07:00 pm,Thunderbird Café & Music Hall
53,Haunted Guyasuta at Camp Guyasuta,Sat Oct 16 2021 at 03:00 pm,Camp Guyasuta
54,"Ladies Night - Sip, Shop & Talk",Wed Oct 06 2021 at 07:00 pm,3 Rivers Outdoor Company
55,Pittsburgh | Ninja Mountain Bike Clinics,Sat Oct 23 2021 at 08:45 am,"Pittsburgh, PA"
56,Fall 2021 \\ Vogue 101 Workshop w/ Dezmanian 007,Wed Oct 06 2021 at 06:00 pm,True T Studios
57,Drag Queen Bingo Fashion Show,Sun Oct 03 2021 at 11:00 am,Crowne Plaza Suites Pittsburgh South
58,Fashion for a Cause 2021,Sun Oct 17 2021 at 01:00 pm,St. Clair Country Club
59,Trunk-Or-Treat at Lauri Ann West Community Center!,Sat Oct 30 2021 at 04:00 pm,Lauri Ann West Community Center
60,PCS Trunk or Treat Meet,Sat Oct 23 2021 at 02:00 pm,"3470 William Penn Hwy, Pittsburgh, PA 15235-5410, United States"
61,"Allentown All Saints, Ain'ts, & Souls and Trunk-or-Treat",Sat Oct 30 2021 at 02:00 pm,Hill Top United Methodist Church - Pittsburgh
